"r_demo" "r_sex" "r_sexid" "r_sexact" "prop.r" "rp_demo" "rp_sex" "rp_sexid" "rp_sexact" "corrected_r" "corrected_rp" "cnr" "cnrp"
"1" "m_bi_high" "m" "bi" "high" 0.00122741583420054 "m_bi_high" "m" "bi" "high" 0.0467779417632439 0.0467779417632439 5.74159864115161e-05 5.74159864115161e-05
"2" "m_bi_high" "m" "bi" "high" 0.00122741583420054 "m_bi_low" "m" "bi" "low" 0.0221215570432799 0.00745835368117046 2.71523493920921e-05 2.71523493920921e-05
"3" "m_bi_high" "m" "bi" "high" 0.00122741583420054 "m_gay_high" "m" "gay" "high" 1.03402036489748 0.305319501177085 0.00126917296876099 0.00126917296876099
"4" "m_bi_high" "m" "bi" "high" 0.00122741583420054 "m_gay_low" "m" "gay" "low" 0.0841314148906181 0.0163387427944848 0.00010326423079044 0.000103264230790439
"5" "m_bi_high" "m" "bi" "high" 0.00122741583420054 "m_het_high" "m" "het" "high" 0.0184384018669753 0.000324392859973186 2.26315864088782e-05 2.26315864088782e-05
"6" "m_bi_high" "m" "bi" "high" 0.00122741583420054 "m_het_low" "m" "het" "low" 0.00663307886655304 1.9630722561713e-05 8.14154603030815e-06 8.14154603030815e-06
"7" "m_bi_low" "m" "bi" "low" 0.00364052853388297 "m_bi_high" "m" "bi" "high" 0.00745835368117046 0.0221215570432799 2.71523493920921e-05 2.71523493920921e-05
"8" "m_bi_low" "m" "bi" "low" 0.00364052853388297 "m_bi_low" "m" "bi" "low" 0.00352709824733271 0.00352709824733271 1.28405018112233e-05 1.28405018112233e-05
"9" "m_bi_low" "m" "bi" "low" 0.00364052853388297 "m_gay_high" "m" "gay" "high" 0.164865945448635 0.144387343844653 0.000600199178671348 0.000600199178671348
"10" "m_bi_low" "m" "bi" "low" 0.00364052853388297 "m_gay_low" "m" "gay" "low" 0.0134140542379436 0.00772668520930259 4.88342472082875e-05 4.88342472082875e-05
"11" "m_bi_low" "m" "bi" "low" 0.00364052853388297 "m_het_high" "m" "het" "high" 0.00293984979363741 0.000153407244650687 1.0702607059067e-05 1.0702607059067e-05
"12" "m_bi_low" "m" "bi" "low" 0.00364052853388297 "m_het_low" "m" "het" "low" 0.0010575892464923 9.28348132860692e-06 3.85018382898301e-06 3.85018382898301e-06
